oee_id,asset_id,shift_id,availability,performance,quality_rate,oee,planned_hours,actual_hours,parts_produced,parts_scrapped
5aefdbb8-d65f-4fbf-83d4-db11c79bd078,WC-02,2026-03-07-M,0.855,0.880,0.945,,7.50,7.50,86,3
13a3582f-11b8-4e23-a76a-dfb6326e39ca,WC-03,2026-03-07-M,0.942,0.925,0.976,,7.50,7.50,117,1
1da69cb3-61d5-4de5-8351-04a626dd16f3,WC-01,2026-03-07-A,0.959,0.906,0.969,,7.50,7.50,99,2
3a99823d-d644-46da-8549-394b1332609d,WC-02,2026-03-07-A,0.855,0.905,0.944,,7.50,7.50,95,7
d2a80fcd-a7b5-4825-a824-e3ae0ea476ae,WC-03,2026-03-07-A,0.958,0.966,0.980,,7.50,7.50,107,0
941c320c-8f54-4b9b-a8c4-fcb414983381,WC-01,2026-03-07-N,0.976,0.929,0.968,,7.50,7.50,103,3
cb5667f0-08a6-40a4-8437-b45785ec0f57,WC-02,2026-03-07-N,0.913,0.884,0.958,,7.50,7.50,74,1
6c624ebc-bb69-4c90-91ad-f225e375aa00,WC-03,2026-03-07-N,0.973,0.932,0.989,,7.50,7.50,131,0
5e36272e-e6fc-4d15-848b-1b5cfa38ea5e,WC-01,2026-03-08-M,0.915,0.908,0.971,,7.50,7.50,94,3
af0147d4-60d4-45f0-8a22-ca06432d6ac4,WC-02,2026-03-08-M,0.844,0.925,0.926,,7.50,7.50,64,7
1d2ec44f-0d16-4f8d-9156-684d71ca209d,WC-03,2026-03-08-M,0.954,0.907,0.985,,7.50,7.50,110,2
86ef750b-a924-458c-893c-9aa7184bf617,WC-01,2026-03-08-A,0.927,0.920,0.960,,7.50,7.50,93,2
2a088d8e-1744-4df4-8c1e-ee8649b53502,WC-02,2026-03-08-A,0.889,0.829,0.973,,7.50,7.50,81,0
928d33ea-b55e-488c-8236-de6f26e13276,WC-03,2026-03-08-A,0.950,0.929,0.968,,7.50,7.50,119,2
eb58d327-f0ec-49dd-a28c-4c87bba2b0c3,WC-01,2026-03-08-N,0.983,0.913,0.964,,7.50,7.50,107,2
d5cc8092-87c5-4447-ae70-9a3835f2a62c,WC-02,2026-03-08-N,0.885,0.835,0.974,,7.50,7.50,80,4
41f9f930-396f-4da9-b2de-a61c1b555348,WC-03,2026-03-08-N,0.961,0.917,0.991,,7.50,7.50,106,0
95694c60-3a4e-4a87-a228-b2554a5674b6,WC-01,2026-03-09-M,0.931,0.933,0.969,,7.50,7.50,94,1
0591e23a-3f67-4897-9cc6-0bffebd6af2d,WC-02,2026-03-09-M,0.847,0.849,0.961,,7.50,7.50,83,6
4702ca97-ab87-4ae6-9ebe-af33eb16b130,WC-03,2026-03-09-M,0.936,0.923,0.983,,7.50,7.50,112,0
41066750-d1e2-47a2-9ef0-505f505290f7,WC-01,2026-03-09-A,0.921,0.858,0.959,,7.50,7.50,97,0
8fed1419-a4a3-4295-9e86-222f016c9d65,WC-02,2026-03-09-A,0.867,0.894,0.950,,7.50,7.50,64,2
f49c1462-922f-4bb3-83a9-21e3bc80d5b7,WC-03,2026-03-09-A,0.946,0.932,0.985,,7.50,7.50,104,1
ce8fc0ba-0f41-470a-8e2f-6d181a24bc2a,WC-01,2026-03-09-N,0.895,0.913,0.969,,7.50,7.50,95,2
400fd6ea-9c3c-4e08-b41f-87945c47275e,WC-02,2026-03-09-N,0.847,0.894,0.927,,7.50,7.50,77,4
bdf17d4b-b245-441e-be08-66021898db8a,WC-03,2026-03-09-N,0.940,0.931,0.979,,7.50,7.50,113,0
e283180d-1243-47e4-86b8-0c7d1d52c50d,WC-01,2026-03-10-M,0.953,0.924,0.966,,7.50,7.50,94,3
26351f22-32b1-4401-8aae-644854fe0507,WC-02,2026-03-10-M,0.899,0.885,0.962,,7.50,7.50,86,5
ceed6f8b-34bc-4b2f-90b4-9d16635d0c2e,WC-03,2026-03-10-M,0.936,0.932,0.984,,7.50,7.50,103,0
1bde23d4-082a-481e-af7a-7b8a0f2b86e0,WC-01,2026-03-10-A,0.945,0.896,0.954,,7.50,7.50,94,1
0de215c8-6fc2-430a-b5cd-d6e52d7f31b1,WC-02,2026-03-10-A,0.862,0.841,0.943,,7.50,7.50,72,2
bb7cc05b-40a2-47e0-97eb-fba74d10088a,WC-03,2026-03-10-A,0.943,0.927,0.979,,7.50,7.50,107,0
00f63588-3b9e-4fc4-b8e2-71a02ca1044e,WC-01,2026-03-10-N,0.875,0.905,0.984,,7.50,7.50,85,1
165d0c63-124e-4bc4-88cf-165e7a7efc9b,WC-02,2026-03-10-N,0.838,0.803,0.951,,7.50,7.50,85,2
5a9c4300-c984-4c47-b084-82bf57099c43,WC-03,2026-03-10-N,0.962,0.913,0.976,,7.50,7.50,112,1
559b1437-e483-4df9-94d6-f0a58b5d3888,WC-01,2026-03-11-M,0.915,0.909,0.973,,7.50,7.50,88,2
a099cfe0-30eb-459f-99f9-4f4ccd27acc2,WC-02,2026-03-11-M,0.858,0.837,0.981,,7.50,7.50,79,2
ce3cde41-f16a-4b8c-aa50-9eadeb5f7d54,WC-03,2026-03-11-M,0.970,0.907,0.979,,7.50,7.50,108,2
91bf7a46-51e9-421c-aa53-4a3f278ef632,WC-01,2026-03-11-A,0.945,0.935,0.977,,7.50,7.50,97,0
aecc6c02-ce38-4054-9fa4-c66b184eed66,WC-02,2026-03-11-A,0.866,0.887,0.973,,7.50,7.50,76,8
19f43255-7e3b-4149-a467-12ea3d599bb0,WC-03,2026-03-11-A,0.916,0.933,0.967,,7.50,7.50,113,2
30ff8170-3e65-4364-b32b-55d14116794d,WC-01,2026-03-11-N,0.887,0.895,0.980,,7.50,7.50,92,2
3b5f02e1-7b93-4a7d-a79a-f5b2fd869fa6,WC-02,2026-03-11-N,0.917,0.861,0.969,,7.50,7.50,67,1
e31491fe-302e-4529-b4eb-ce14ef000e51,WC-03,2026-03-11-N,0.963,0.908,0.980,,7.50,7.50,118,2
edc1a8b8-551d-4d56-8d3a-8e0520dc37cc,WC-01,2026-03-12-M,0.893,0.927,0.970,,7.50,7.50,94,2
80368b5f-cf19-4894-b33c-8f04d7403357,WC-02,2026-03-12-M,0.808,0.824,0.968,,7.50,6.95,80,3
5627e619-921a-4b4b-b041-92262909c1e4,WC-03,2026-03-12-M,0.949,0.931,0.967,,7.50,7.50,111,0
1ab19a80-3ae1-491f-9ba6-c2e5c0d9f838,WC-01,2026-03-12-A,0.959,0.926,0.954,,7.50,7.50,100,1
e6fb1f36-f708-4b03-8d10-57234bfbbb98,WC-02,2026-03-12-A,0.826,0.891,0.946,,7.50,6.95,71,0
f8773ee6-8302-4c78-8bc0-7552e64e568f,WC-03,2026-03-12-A,0.938,0.935,0.988,,7.50,7.50,116,1
5e8f2577-f5d7-4e31-b3bc-4862cb8c3204,WC-01,2026-03-12-N,0.908,0.915,0.996,,7.50,7.50,94,3
e00db115-28ff-480c-8c56-f476e824e8e2,WC-02,2026-03-12-N,0.797,0.874,0.953,,7.50,6.95,83,6
fb0652d5-5d2c-4085-b088-ec19fee9bd4f,WC-03,2026-03-12-N,0.951,0.932,0.966,,7.50,7.50,105,0
a72527d6-ac63-4073-a94f-938202ffe818,WC-01,2026-03-13-M,0.915,0.898,0.967,,7.50,7.50,95,0
f48626e2-7ee0-41de-adb8-c1b86f70d804,WC-02,2026-03-13-M,0.776,0.847,0.956,,7.50,6.90,76,2
4c0cfbaa-fb40-4b5e-92cf-677a204c75b2,WC-03,2026-03-13-M,0.927,0.898,0.989,,7.50,7.50,98,2
1e38dab8-edb5-4560-95e6-19ce662fe220,WC-01,2026-03-13-A,0.918,0.909,0.971,,7.50,7.50,98,2
b6d9d0f8-476e-47fe-9afd-d72841a2ca9d,WC-02,2026-03-13-A,0.768,0.885,0.977,,7.50,6.90,82,4
2d416ceb-4602-43e4-9667-098bcf215062,WC-03,2026-03-13-A,0.949,0.927,0.997,,7.50,7.50,111,1
102fbfa8-1bd0-4690-914b-b5e07987e348,WC-01,2026-03-13-N,0.921,0.924,0.976,,7.50,7.50,85,0
c72fff62-575b-4ee7-b2b8-ada667f2ef88,WC-02,2026-03-13-N,0.816,0.821,0.944,,7.50,6.90,76,5
22a8dd07-f3e3-4222-960b-fc68d71d43db,WC-03,2026-03-13-N,0.917,0.956,0.982,,7.50,7.50,101,0
419cc952-bddc-466b-a39e-195a67ebbb1b,WC-01,2026-03-14-M,0.912,0.895,0.965,,7.50,7.50,96,2
33996e69-292c-43f2-8a31-e97c6b07b182,WC-02,2026-03-14-M,0.864,0.843,0.978,,7.50,6.85,94,7
64fe6488-6be1-4365-bfc3-c622bca55cbf,WC-03,2026-03-14-M,0.911,0.927,0.971,,7.50,7.50,106,0
30af87c3-58c9-4cfe-a3e9-7bfbcbe328d9,WC-01,2026-03-14-A,0.901,0.906,0.962,,7.50,7.50,97,2
214b6326-4b89-4b5a-b9b5-09ed674b54b3,WC-02,2026-03-14-A,0.777,0.888,0.986,,7.50,6.85,85,7
d14d7f3d-c301-4fc1-8b5d-7a73572eb7a9,WC-03,2026-03-14-A,0.962,0.933,0.984,,7.50,7.50,107,0
94705344-a4e6-4ada-84cf-f1485a1c6763,WC-01,2026-03-14-N,0.922,0.883,0.973,,7.50,7.50,95,1
62455e32-1c4e-466b-9c2e-a0804cf5a964,WC-02,2026-03-14-N,0.828,0.849,0.972,,7.50,6.85,86,5
2cb39ece-985a-4055-9138-535b3f9cc02e,WC-03,2026-03-14-N,0.964,0.943,0.979,,7.50,7.50,112,1
dc388dbe-5c07-4595-87d6-327f78e51a68,WC-01,2026-03-15-M,0.938,0.898,0.964,,7.50,7.50,96,1
163d56a0-e2a0-4e0e-bcf2-2baf1d1888f7,WC-02,2026-03-15-M,0.712,0.878,0.923,,7.50,6.80,68,4
3458970d-db1d-46bd-8b66-b6457828aace,WC-03,2026-03-15-M,0.963,0.875,0.996,,7.50,7.50,120,1
7f301125-df3e-46df-abb8-7c7a38b17149,WC-01,2026-03-15-A,0.978,0.928,0.978,,7.50,7.50,96,0
001ac5cb-c144-44dd-9edc-408016f59aca,WC-02,2026-03-15-A,0.821,0.853,0.945,,7.50,6.80,87,3
cc3d2056-ac1f-483b-bf9b-42295e89178a,WC-03,2026-03-15-A,0.946,0.946,0.988,,7.50,7.50,96,0
516c9618-deaf-4d14-a533-c7c5b54ce93f,WC-01,2026-03-15-N,0.914,0.937,0.972,,7.50,7.50,91,1
0b2289d9-4e38-4dcf-a8ea-004491db9024,WC-02,2026-03-15-N,0.783,0.909,0.944,,7.50,6.80,67,0
65a2e840-d600-4fb1-ba34-35b9bcebd339,WC-03,2026-03-15-N,0.921,0.938,0.987,,7.50,7.50,106,2
