quality_id,asset_id,part_id,shift_id,recorded_at,cpk,cp,sample_size,scrap_qty,rework_qty,notes
cd911a1d-10a5-415d-8010-dce4dd89af5a,WC-02,P-2001,2026-03-03-M,2026-03-12 09:26:00.082174-04,1.439,1.581,28,1,0,
0a150d0b-a09a-48c5-b9b6-b2d170204d6a,WC-03,P-3001,2026-03-03-M,2026-03-12 09:26:00.082174-04,1.567,1.755,40,0,0,
677eaa90-987b-4520-9d34-99c8f5077253,WC-01,P-1099,2026-03-04-M,2026-03-12 09:26:00.082174-04,1.547,1.554,25,0,0,
a5303c9f-c604-4046-87b3-04b028ab8b41,WC-02,P-1099,2026-03-04-M,2026-03-12 09:26:00.082174-04,1.259,1.358,20,0,0,
aa1f938f-af6c-491e-934b-b9eedb7b0c81,WC-01,P-1001,2026-03-04-M,2026-03-12 09:26:00.082174-04,1.655,1.820,30,0,0,
9b020e0f-0627-45cb-aa6a-283413adbb19,WC-02,P-2001,2026-03-04-M,2026-03-12 09:26:00.082174-04,1.408,1.541,28,1,0,
8948f7c8-9959-4287-962f-8d5673ac2634,WC-03,P-3001,2026-03-04-M,2026-03-12 09:26:00.082174-04,1.582,1.713,40,0,0,
fe50bd99-8276-4497-80f1-d9787dbbaf46,WC-01,P-1099,2026-03-05-M,2026-03-12 09:26:00.082174-04,1.498,1.700,25,0,0,
44b70e97-4908-47ef-8722-b02acf6701aa,WC-02,P-1099,2026-03-05-M,2026-03-12 09:26:00.082174-04,1.318,1.460,20,1,0,
40e82fbd-6fec-47e3-b5fd-b08a7f0b6aaf,WC-01,P-1001,2026-03-05-M,2026-03-12 09:26:00.082174-04,1.578,1.798,30,0,0,
3632de15-2699-40f7-9dc0-9756e9c3d2f4,WC-02,P-2001,2026-03-05-M,2026-03-12 09:26:00.082174-04,1.488,1.658,28,1,0,
57b5a327-1361-4fed-9f5b-3dc78fdd110f,WC-03,P-3001,2026-03-05-M,2026-03-12 09:26:00.082174-04,1.557,1.761,40,0,0,
e10191e1-2e30-482e-8528-e94e4d4aeea8,WC-01,P-1099,2026-03-06-M,2026-03-12 09:26:00.082174-04,1.487,1.724,25,0,0,
2b6b4a6c-0546-434f-bb81-85e9c61dfac7,WC-02,P-1099,2026-03-06-M,2026-03-12 09:26:00.082174-04,1.347,1.502,20,0,0,
269fa439-03fb-4824-9c36-2e3a60062a1e,WC-01,P-1001,2026-03-06-M,2026-03-12 09:26:00.082174-04,1.670,1.791,30,0,0,
68c1cea3-5614-44f9-8fab-ed5955a918ca,WC-02,P-2001,2026-03-06-M,2026-03-12 09:26:00.082174-04,1.413,1.514,28,1,0,
78ef7dfe-94e1-4e2a-a246-129986bc4e5b,WC-03,P-3001,2026-03-06-M,2026-03-12 09:26:00.082174-04,1.579,1.666,40,0,0,
dae231e6-4a2a-4757-b330-3aafa97a1381,WC-01,P-1099,2026-03-07-M,2026-03-12 09:26:00.082174-04,1.540,1.668,25,0,0,
12fa4762-e0ab-414e-9e39-75c45ec09288,WC-02,P-1099,2026-03-07-M,2026-03-12 09:26:00.082174-04,1.325,1.365,20,0,0,
ac0ae155-f195-4ce2-916f-0c852d9c26fc,WC-01,P-1001,2026-03-07-M,2026-03-12 09:26:00.082174-04,1.662,1.731,30,0,0,
c69142d4-1108-4f85-9366-60be4f309a36,WC-02,P-2001,2026-03-07-M,2026-03-12 09:26:00.082174-04,1.421,1.619,28,1,0,
25ed6556-3f01-499c-a0ad-2f6a939dcaf7,WC-03,P-3001,2026-03-07-M,2026-03-12 09:26:00.082174-04,1.621,1.730,40,0,0,
90f7c5f7-cf89-45cb-9a73-519825e4746d,WC-01,P-1099,2026-03-08-M,2026-03-12 09:26:00.082174-04,1.426,1.642,25,0,0,
9cdf2b4a-5c50-4eff-9f47-e4c8dc15f736,WC-02,P-1099,2026-03-08-M,2026-03-12 09:26:00.082174-04,1.279,1.310,20,1,0,
d560f5fb-5b47-47e8-80ec-1e9353a1b67f,WC-01,P-1001,2026-03-08-M,2026-03-12 09:26:00.082174-04,1.617,1.735,30,0,0,
71ae8901-1f89-4ffc-b475-70d2a6aa7db0,WC-02,P-2001,2026-03-08-M,2026-03-12 09:26:00.082174-04,1.470,1.515,28,1,0,
33e43101-727a-4f13-965e-3f8a95310254,WC-03,P-3001,2026-03-08-M,2026-03-12 09:26:00.082174-04,1.598,1.698,40,0,0,
91093fac-80c9-4c94-a7da-b28ccac09c2a,WC-01,P-1099,2026-03-09-M,2026-03-12 09:26:00.082174-04,1.538,1.600,25,0,0,
20a75023-3fc9-47c5-89fe-6e57d7323da9,WC-02,P-1099,2026-03-09-M,2026-03-12 09:26:00.082174-04,1.188,1.463,20,0,0,
3412986b-bb24-4596-9f6c-e87ef7a4cc46,WC-01,P-1001,2026-03-09-M,2026-03-12 09:26:00.082174-04,1.662,1.749,30,0,0,
ee602fea-6bc2-429c-beac-c06524c2dd2e,WC-02,P-2001,2026-03-09-M,2026-03-12 09:26:00.082174-04,1.457,1.585,28,1,0,
30a38409-bb97-42fd-b2a5-1e187ee83bf2,WC-03,P-3001,2026-03-09-M,2026-03-12 09:26:00.082174-04,1.545,1.721,40,0,0,
6c708eca-aff6-4fc0-85d4-f6f0ca803855,WC-01,P-1099,2026-03-10-M,2026-03-12 09:26:00.082174-04,1.438,1.521,25,0,0,
c78bad24-eaed-4174-a71c-888e576a35c3,WC-02,P-1099,2026-03-10-M,2026-03-12 09:26:00.082174-04,1.153,1.410,20,0,0,
caaf646f-b7fd-413b-a888-0496e6a6aef6,WC-01,P-1001,2026-03-10-M,2026-03-12 09:26:00.082174-04,1.591,1.759,30,0,0,
8c2d1984-a9d0-42d3-b923-5758ce668120,WC-02,P-2001,2026-03-10-M,2026-03-12 09:26:00.082174-04,1.478,1.514,28,1,0,
025e1bf0-ca05-4339-8315-e7ddf357c012,WC-03,P-3001,2026-03-10-M,2026-03-12 09:26:00.082174-04,1.599,1.669,40,0,0,
d37c24f5-5dc1-43f5-98b3-9cbb6b786c0d,WC-01,P-1099,2026-03-11-M,2026-03-12 09:26:00.082174-04,1.573,1.647,25,0,0,
153ea1a2-7a2f-4cda-8975-7200387a8ac8,WC-02,P-1099,2026-03-11-M,2026-03-12 09:26:00.082174-04,1.315,1.358,20,0,0,
5a4cae4c-c3b5-47f5-bec5-f55c9c46d1d8,WC-01,P-1001,2026-03-11-M,2026-03-12 09:26:00.082174-04,1.620,1.807,30,0,0,
1132c661-d962-473c-b4b1-344671f31846,WC-02,P-2001,2026-03-11-M,2026-03-12 09:26:00.082174-04,1.470,1.648,28,1,0,
017dc153-c07c-46b7-86d6-2392ca444bca,WC-03,P-3001,2026-03-11-M,2026-03-12 09:26:00.082174-04,1.580,1.731,40,0,0,
46b23b3e-464d-45c3-a6e7-ed49cf6fe59a,WC-01,P-1099,2026-03-12-M,2026-03-12 09:26:00.082174-04,1.524,1.662,25,0,0,
882f6370-8ce9-4a57-9948-c8d7087ede68,WC-02,P-1099,2026-03-12-M,2026-03-12 09:26:00.082174-04,1.237,1.291,20,1,0,
da38ef8b-34e4-4e66-855a-b79aac8452da,WC-01,P-1001,2026-03-12-M,2026-03-12 09:26:00.082174-04,1.613,1.841,30,0,0,
a4d77941-ddc4-446f-bd98-209babd5bd00,WC-02,P-2001,2026-03-12-M,2026-03-12 09:26:00.082174-04,1.412,1.504,28,1,0,
c9b15c34-a079-4c8f-a488-15a479d5818d,WC-03,P-3001,2026-03-12-M,2026-03-12 09:26:00.082174-04,1.641,1.677,40,0,0,
1887539c-7ed8-474f-ab10-79f75c0fc425,WC-01,P-1099,2026-03-13-M,2026-03-12 09:26:00.082174-04,1.529,1.665,25,0,0,
efaffb67-8634-4698-aa64-85b4fa4a17e9,WC-02,P-1099,2026-03-13-M,2026-03-12 09:26:00.082174-04,1.135,1.349,20,0,0,
ca281326-7437-43a4-a0cb-1cbc48c8d571,WC-01,P-1001,2026-03-13-M,2026-03-12 09:26:00.082174-04,1.535,1.643,30,0,0,
ca1834ae-e612-4ce3-abdb-e2976053ca0b,WC-02,P-2001,2026-03-13-M,2026-03-12 09:26:00.082174-04,1.447,1.554,28,1,0,
3c755329-d921-46fc-8fd5-12277c56e2f7,WC-03,P-3001,2026-03-13-M,2026-03-12 09:26:00.082174-04,1.636,1.741,40,0,0,
c091aec2-a406-4ba3-aff5-5fb1bcde7326,WC-01,P-1099,2026-03-14-M,2026-03-12 09:26:00.082174-04,1.592,1.635,25,0,0,
e5a3bbee-46c7-476c-8bff-5ceec48dffb6,WC-02,P-1099,2026-03-14-M,2026-03-12 09:26:00.082174-04,1.235,1.294,20,2,0,
5973db99-32f7-4ab1-81a0-f963c631b653,WC-01,P-1001,2026-03-14-M,2026-03-12 09:26:00.082174-04,1.605,1.773,30,0,0,
bf4c3cab-c38e-4047-9da2-4e42122c69d1,WC-02,P-2001,2026-03-14-M,2026-03-12 09:26:00.082174-04,1.497,1.452,28,1,0,
91617919-20a9-4a02-ae94-caaf4286c338,WC-03,P-3001,2026-03-14-M,2026-03-12 09:26:00.082174-04,1.553,1.746,40,0,0,
2ee5ca9d-c8ee-40e1-820e-9f087a2442c6,WC-01,P-1099,2026-03-15-M,2026-03-12 09:26:00.082174-04,1.425,1.546,25,0,0,
7b9e7a67-e19c-45bc-a201-f9a6216f7f09,WC-02,P-1099,2026-03-15-M,2026-03-12 09:26:00.082174-04,1.232,1.295,20,0,0,
52993878-517d-4718-9a85-3cb8a89c3215,WC-01,P-1001,2026-03-15-M,2026-03-12 09:26:00.082174-04,1.653,1.779,30,0,0,
5070c6b4-526a-4789-8abc-6d30d831b818,WC-02,P-2001,2026-03-15-M,2026-03-12 09:26:00.082174-04,1.520,1.689,28,1,0,
41d8df42-d8d4-4d8b-99fe-d871e1b74f21,WC-03,P-3001,2026-03-15-M,2026-03-12 09:26:00.082174-04,1.489,1.652,40,0,0,
