reading_id,asset_id,recorded_at,value_mm_s,threshold
6a59075e-d5cf-4372-8cc5-3f1011e96f0a,WC-01,2026-03-09 19:26:00.182697-04,1.916,4.500
3526af93-dba5-4509-8bca-1afaf2434c48,WC-02,2026-03-09 19:26:00.182697-04,4.694,7.700
c5250f03-a5fa-45cb-a85b-4caf74872abb,WC-03,2026-03-09 19:26:00.182697-04,1.211,5.000
6e95ed0e-fc2f-45d6-ae1d-f21d43d6330e,WC-01,2026-03-09 20:26:00.182697-04,2.040,4.500
60ef261b-0ad0-4a10-8613-6bbca28748ee,WC-02,2026-03-09 20:26:00.182697-04,4.722,7.700
33aa9699-eef6-4017-87fb-6be21e0a7a30,WC-03,2026-03-09 20:26:00.182697-04,1.259,5.000
899503ef-21ee-491a-b7e9-6a2d8787d13f,WC-01,2026-03-09 21:26:00.182697-04,1.928,4.500
00df8e9d-0261-4995-ace8-f34540892a2c,WC-02,2026-03-09 21:26:00.182697-04,4.924,7.700
a1eedaaf-364d-4c4d-96dc-df8a85dcafbc,WC-03,2026-03-09 21:26:00.182697-04,1.129,5.000
c19ed9b9-e6a2-46ed-8a06-36082eda685a,WC-01,2026-03-09 22:26:00.182697-04,1.825,4.500
8bbc8d6c-d0b9-44d6-813f-1c99a6c2ed41,WC-02,2026-03-09 22:26:00.182697-04,4.760,7.700
cf6ece23-8d4f-4baa-9cc5-213ef4cc48b8,WC-03,2026-03-09 22:26:00.182697-04,1.220,5.000
fb07c554-6113-4983-b127-7aa5eebe03d0,WC-01,2026-03-09 23:26:00.182697-04,2.021,4.500
153d23da-3b6f-489c-9346-3ebd03278223,WC-02,2026-03-09 23:26:00.182697-04,4.796,7.700
802cb6af-422d-4422-a710-637e88280dfd,WC-03,2026-03-09 23:26:00.182697-04,1.163,5.000
15175302-e3b5-459e-8764-10b3211bd980,WC-01,2026-03-10 00:26:00.182697-04,2.236,4.500
13cb6726-57b4-423f-9d5e-b20c1a936f0a,WC-02,2026-03-10 00:26:00.182697-04,4.758,7.700
eda920fe-f5b2-465d-bfbb-4f1cba6c0d5a,WC-03,2026-03-10 00:26:00.182697-04,1.163,5.000
ce116f20-88eb-4aa5-be24-44613a3afae7,WC-01,2026-03-10 01:26:00.182697-04,1.813,4.500
acfe515e-d2cb-4d92-9cc2-58ddea6daa79,WC-02,2026-03-10 01:26:00.182697-04,4.753,7.700
c9496e8e-b855-4f1d-a96f-bf0baf4173f5,WC-03,2026-03-10 01:26:00.182697-04,1.288,5.000
0dab637d-85a1-47a3-abaf-4499662ac763,WC-01,2026-03-10 02:26:00.182697-04,2.095,4.500
3fae89d4-6a5f-4ad1-b7e9-3fc26aa13a5e,WC-02,2026-03-10 02:26:00.182697-04,4.799,7.700
e530d725-e29e-4e60-8e3a-ae521c2be637,WC-03,2026-03-10 02:26:00.182697-04,1.139,5.000
3fcd0690-be32-471c-9317-8b3d30398324,WC-01,2026-03-10 03:26:00.182697-04,2.043,4.500
130b64b9-b96f-42d5-8cfa-57882536254d,WC-02,2026-03-10 03:26:00.182697-04,4.690,7.700
4dccebff-b0df-468a-bc03-b2130d2022c3,WC-03,2026-03-10 03:26:00.182697-04,1.095,5.000
6c7b4841-2b9e-403a-908d-6171d57ddb9b,WC-01,2026-03-10 04:26:00.182697-04,2.080,4.500
6b46d24a-98b7-4d2f-8b10-26adda4f3df7,WC-02,2026-03-10 04:26:00.182697-04,4.835,7.700
a20ba1ed-a1bf-413a-8bb4-b8ca2ce4dc7c,WC-03,2026-03-10 04:26:00.182697-04,1.174,5.000
8e782ddc-f486-418c-b01b-9fb97c4fe8d0,WC-01,2026-03-10 05:26:00.182697-04,2.019,4.500
b3c451fd-e6eb-4322-9e1a-16b8cb067343,WC-02,2026-03-10 05:26:00.182697-04,4.992,7.700
5b202d05-73ac-4d9a-a8c8-5f07c1d332a7,WC-03,2026-03-10 05:26:00.182697-04,1.200,5.000
4a01435f-f809-45af-955f-eee49c75e6bd,WC-01,2026-03-10 06:26:00.182697-04,2.126,4.500
9c934832-d1ce-4ffa-9ebc-c2231284454f,WC-02,2026-03-10 06:26:00.182697-04,5.056,7.700
255f59b5-563e-4b79-9a78-1ed276a00715,WC-03,2026-03-10 06:26:00.182697-04,1.278,5.000
2e16729c-f161-4ef6-8532-e33081407d8c,WC-01,2026-03-10 07:26:00.182697-04,2.172,4.500
cda4a41b-bda0-4120-ac74-3ec1fea2a83e,WC-02,2026-03-10 07:26:00.182697-04,5.080,7.700
26171817-5cb3-4ae3-81b7-4074c238f1cc,WC-03,2026-03-10 07:26:00.182697-04,1.125,5.000
61c692a6-f2db-4106-9fa9-7dbcf42ad5ce,WC-01,2026-03-10 08:26:00.182697-04,2.022,4.500
da712cd9-9609-4954-b0d9-be458dd65d9b,WC-02,2026-03-10 08:26:00.182697-04,4.995,7.700
afd48097-b2c4-49d8-a8e8-4a7b3b43736a,WC-03,2026-03-10 08:26:00.182697-04,1.286,5.000
0dc22965-a56e-48b5-8c3b-1f340f00f131,WC-01,2026-03-10 09:26:00.182697-04,2.004,4.500
40b82940-3cda-4100-8ee2-df252ba1c72a,WC-02,2026-03-10 09:26:00.182697-04,4.758,7.700
3669d4bb-29f4-4808-bcdf-6f090642d4fe,WC-03,2026-03-10 09:26:00.182697-04,1.202,5.000
9de89748-85e1-4f8a-8fe9-53031956ab3a,WC-01,2026-03-10 10:26:00.182697-04,2.233,4.500
fb994bef-ab67-4038-af27-ece17039644b,WC-02,2026-03-10 10:26:00.182697-04,5.036,7.700
8239fa1a-3bbb-4a6f-9615-e1ed113652b9,WC-03,2026-03-10 10:26:00.182697-04,1.106,5.000
d1e73791-2b3a-42f7-8b29-f17ebb926566,WC-01,2026-03-10 11:26:00.182697-04,1.849,4.500
2d228cc4-fc7c-4070-a2d5-8ac251f66841,WC-02,2026-03-10 11:26:00.182697-04,5.098,7.700
809a6668-dbe9-4823-9ff8-3b3dae813f2a,WC-03,2026-03-10 11:26:00.182697-04,1.208,5.000
4e831ce8-62b1-4540-8336-542c6a5ca96d,WC-01,2026-03-10 12:26:00.182697-04,2.359,4.500
0bf3c26d-8025-4d24-851f-c197b9b501e7,WC-02,2026-03-10 12:26:00.182697-04,4.957,7.700
4abacc42-1014-4020-90a7-297be4713f7e,WC-03,2026-03-10 12:26:00.182697-04,1.125,5.000
0a4349ac-7dbc-4054-be50-4395d5aa27ae,WC-01,2026-03-10 13:26:00.182697-04,1.899,4.500
1c956a26-869d-4a49-b3a0-b56f9d1fe299,WC-02,2026-03-10 13:26:00.182697-04,5.006,7.700
cdc325c6-b2ee-4bb5-af22-6802041b383b,WC-03,2026-03-10 13:26:00.182697-04,1.077,5.000
92f196a0-f8dd-4646-90e0-6f60eb73ecb3,WC-01,2026-03-10 14:26:00.182697-04,2.177,4.500
62d91f1a-7c32-447f-8e9b-08c7ef0267d1,WC-02,2026-03-10 14:26:00.182697-04,5.113,7.700
c211d665-b01e-40a8-b4cc-dc23d453cd43,WC-03,2026-03-10 14:26:00.182697-04,1.322,5.000
1916a1f4-d7f6-4714-adfe-3bd15061444b,WC-01,2026-03-10 15:26:00.182697-04,1.918,4.500
652cd6d9-18fe-4163-97a0-654fdd9b79fa,WC-02,2026-03-10 15:26:00.182697-04,5.189,7.700
2709d85b-1b96-4940-9061-ae189a7c7904,WC-03,2026-03-10 15:26:00.182697-04,1.212,5.000
447886b2-5767-4574-bb40-2975a56c7fa4,WC-01,2026-03-10 16:26:00.182697-04,2.078,4.500
ea4d171f-06ec-4042-bd4d-66af7eb4efad,WC-02,2026-03-10 16:26:00.182697-04,5.137,7.700
3316c65c-3acd-4c3b-b9bd-dd72fe474584,WC-03,2026-03-10 16:26:00.182697-04,1.108,5.000
7a4a76db-fedc-4ee3-b773-549409dd81d4,WC-01,2026-03-10 17:26:00.182697-04,2.073,4.500
3ee36dad-5822-489a-aefe-2edf6993cb49,WC-02,2026-03-10 17:26:00.182697-04,5.128,7.700
58a27713-67b9-4021-87be-339697dbf0af,WC-03,2026-03-10 17:26:00.182697-04,1.188,5.000
cf3d7e9e-41ec-44fd-99c8-d7f74f175177,WC-01,2026-03-10 18:26:00.182697-04,1.943,4.500
eb2491c0-7488-45ad-a129-f045f85b94e6,WC-02,2026-03-10 18:26:00.182697-04,5.358,7.700
d44eb21d-3b09-46ee-8ce3-0b66fdc8ca2c,WC-03,2026-03-10 18:26:00.182697-04,1.285,5.000
5caf586e-e942-4a4d-b373-e2022d3083aa,WC-01,2026-03-10 19:26:00.182697-04,2.092,4.500
23968c4d-ee56-4517-ac64-ecc74b329bf3,WC-02,2026-03-10 19:26:00.182697-04,5.383,7.700
12f3f9e2-bc24-479b-9714-2c4dbb21ea06,WC-03,2026-03-10 19:26:00.182697-04,1.247,5.000
30a60ba7-97d2-453c-8841-6daf3c02bd88,WC-01,2026-03-10 20:26:00.182697-04,2.070,4.500
dbdfd8a0-630e-4585-9a32-b15dace9d1b9,WC-02,2026-03-10 20:26:00.182697-04,5.038,7.700
0030222a-f8b1-4ba7-96d8-e80c6408c143,WC-03,2026-03-10 20:26:00.182697-04,1.196,5.000
85ac7881-921b-4053-b2cd-f1a47130d4d0,WC-01,2026-03-10 21:26:00.182697-04,1.754,4.500
1fa51ad6-e214-475f-a11e-3a2f07ab74b3,WC-02,2026-03-10 21:26:00.182697-04,5.357,7.700
64e9041e-b433-47a6-bc13-bfe1c793eff3,WC-03,2026-03-10 21:26:00.182697-04,1.241,5.000
5c5309cd-f368-45c2-8c97-21790d812fb1,WC-01,2026-03-10 22:26:00.182697-04,2.108,4.500
ab11a01e-e8ef-4553-9040-5ab557000d4c,WC-02,2026-03-10 22:26:00.182697-04,5.195,7.700
be7b45bf-ed5d-4d83-874e-ba2889c379bf,WC-03,2026-03-10 22:26:00.182697-04,1.138,5.000
7e4438b4-dc44-43df-a8ed-ed992cd81a29,WC-01,2026-03-10 23:26:00.182697-04,1.832,4.500
f6cfb6a2-c6da-43ef-8473-38843f897f18,WC-02,2026-03-10 23:26:00.182697-04,5.455,7.700
9b3322cb-0b0e-4c05-a8aa-a2306e940703,WC-03,2026-03-10 23:26:00.182697-04,1.231,5.000
e6cf385d-03ae-44ac-9b75-c55728c1fae2,WC-01,2026-03-11 00:26:00.182697-04,2.067,4.500
89b38c59-65b0-4cd2-9b5a-40e29fb0f042,WC-02,2026-03-11 00:26:00.182697-04,5.510,7.700
580ff878-2b8c-42e1-aed8-3a1e31713d64,WC-03,2026-03-11 00:26:00.182697-04,1.152,5.000
52c10520-46ef-4a33-a8eb-2217e6602d3a,WC-01,2026-03-11 01:26:00.182697-04,1.989,4.500
5cd00911-662e-458d-854d-132374e0d3f8,WC-02,2026-03-11 01:26:00.182697-04,5.332,7.700
7bc9fd79-bf6b-430b-a999-65254c7035e2,WC-03,2026-03-11 01:26:00.182697-04,1.020,5.000
833a5d3e-e07c-4e05-9650-d2f909cd0f31,WC-01,2026-03-11 02:26:00.182697-04,1.944,4.500
64bef07e-136e-40e1-940a-7ebca15de095,WC-02,2026-03-11 02:26:00.182697-04,5.419,7.700
269dc85c-166c-432f-9dd7-fc58c0da4755,WC-03,2026-03-11 02:26:00.182697-04,1.254,5.000
d30cf5f3-9e64-4415-9330-ce97f344d6ed,WC-01,2026-03-11 03:26:00.182697-04,2.138,4.500
9ad71725-2404-4c11-88d1-6f34294d4447,WC-02,2026-03-11 03:26:00.182697-04,5.485,7.700
476867b5-830f-4a71-8922-fe5970008bd6,WC-03,2026-03-11 03:26:00.182697-04,1.209,5.000
52aeb575-92b1-4f9d-907d-26ceda34ea7b,WC-01,2026-03-11 04:26:00.182697-04,1.998,4.500
f89ee82c-ddf9-4f96-8c83-c9d317dc5d66,WC-02,2026-03-11 04:26:00.182697-04,5.678,7.700
765d93ca-8b7d-4557-9f4c-4c3ff2abb2b6,WC-03,2026-03-11 04:26:00.182697-04,1.263,5.000
2c2ada2f-e0dd-4865-9900-f558ddbfdc74,WC-01,2026-03-11 05:26:00.182697-04,2.277,4.500
b4425ae9-b708-4918-9b39-4174d643f09e,WC-02,2026-03-11 05:26:00.182697-04,5.603,7.700
117b5e47-9abb-4541-9239-fc44c95b5538,WC-03,2026-03-11 05:26:00.182697-04,1.187,5.000
46b894ac-e182-48ed-8128-cebd7809f873,WC-01,2026-03-11 06:26:00.182697-04,1.943,4.500
96f10142-84a2-49e6-8455-5c5f5d8244c1,WC-02,2026-03-11 06:26:00.182697-04,5.621,7.700
eb63b8c8-f40a-4d81-a75a-1a3015b14762,WC-03,2026-03-11 06:26:00.182697-04,1.179,5.000
6bee4c16-0fe2-49fc-894b-ed9f242070fd,WC-01,2026-03-11 07:26:00.182697-04,2.106,4.500
ac325f61-1825-433e-a8e3-e504d6132002,WC-02,2026-03-11 07:26:00.182697-04,5.506,7.700
01e45a35-335e-4bbb-bc9c-b5f8da3fda60,WC-03,2026-03-11 07:26:00.182697-04,1.416,5.000
cb044947-9e10-4450-b366-4ed4ae213262,WC-01,2026-03-11 08:26:00.182697-04,1.854,4.500
cfb1c994-9470-4b55-9684-bc49d0c7e21a,WC-02,2026-03-11 08:26:00.182697-04,5.610,7.700
68d6c9cc-9be9-417d-973d-c57b0393bb04,WC-03,2026-03-11 08:26:00.182697-04,1.286,5.000
ae455e1a-d5f4-4472-9dad-f07403f6535f,WC-01,2026-03-11 09:26:00.182697-04,1.695,4.500
c1149c2e-a1c4-47a9-b1ea-8f5a00d431ed,WC-02,2026-03-11 09:26:00.182697-04,5.720,7.700
1020a9b3-ae09-40ac-8385-077e35227022,WC-03,2026-03-11 09:26:00.182697-04,1.262,5.000
00dad868-c6cf-43d0-9c2b-f4730f42bd36,WC-01,2026-03-11 10:26:00.182697-04,1.960,4.500
ece8ec55-7ab8-4a7c-812f-b82dfa983645,WC-02,2026-03-11 10:26:00.182697-04,5.586,7.700
f039e486-5079-40d3-8995-b29a65c85de6,WC-03,2026-03-11 10:26:00.182697-04,1.182,5.000
a07dc0b0-2c1a-4f33-b9f4-fa8888df88c8,WC-01,2026-03-11 11:26:00.182697-04,2.073,4.500
39880770-0be3-456c-941f-11f25c936029,WC-02,2026-03-11 11:26:00.182697-04,5.593,7.700
9e90c365-e7ba-484f-a6d8-96f696bf518d,WC-03,2026-03-11 11:26:00.182697-04,1.239,5.000
5e69ca44-b8bd-4b94-ad41-853d251f75c0,WC-01,2026-03-11 12:26:00.182697-04,2.101,4.500
b2b6aad5-9766-40f6-bc57-dc29bad41c3f,WC-02,2026-03-11 12:26:00.182697-04,6.042,7.700
899e1982-1ce0-450c-8c52-7ca5805cbf53,WC-03,2026-03-11 12:26:00.182697-04,1.281,5.000
a2a01d92-f5f0-4dbc-b519-af05a585eb33,WC-01,2026-03-11 13:26:00.182697-04,2.148,4.500
a9da5a07-1b9c-4c55-8d2f-4c0e9de2146c,WC-02,2026-03-11 13:26:00.182697-04,6.186,7.700
a1319885-389d-41c6-9b47-52dadaa777b4,WC-03,2026-03-11 13:26:00.182697-04,1.351,5.000
4e6250de-69c9-40d6-b0a0-71dabb34cb17,WC-01,2026-03-11 14:26:00.182697-04,2.020,4.500
55f33735-1928-4692-9d7c-2bdffaaf72c2,WC-02,2026-03-11 14:26:00.182697-04,5.846,7.700
b1a373f3-450d-4645-894f-c42bbe0a7961,WC-03,2026-03-11 14:26:00.182697-04,1.169,5.000
4192e8d1-63d1-448f-81db-1e6beecf4ffc,WC-01,2026-03-11 15:26:00.182697-04,2.064,4.500
7b0b62c1-a7a2-4b19-9b88-4362976a4d6b,WC-02,2026-03-11 15:26:00.182697-04,6.182,7.700
e3266a27-62c0-4226-ba78-f6810136d21f,WC-03,2026-03-11 15:26:00.182697-04,1.228,5.000
3a339716-a2bb-4af6-9606-44e963841366,WC-01,2026-03-11 16:26:00.182697-04,1.808,4.500
b3aecb51-2d34-4fba-8719-45bb2519bf6b,WC-02,2026-03-11 16:26:00.182697-04,6.035,7.700
0044a9f7-e985-4317-98fd-771cd364a0fa,WC-03,2026-03-11 16:26:00.182697-04,1.229,5.000
88ef613f-b98e-4b5b-ad1a-f92edfe3122c,WC-01,2026-03-11 17:26:00.182697-04,1.906,4.500
c289eb32-e902-432a-bd0e-a49df49ee2ab,WC-02,2026-03-11 17:26:00.182697-04,6.072,7.700
6b5d99bd-fcac-4a3c-b655-138d59ee6020,WC-03,2026-03-11 17:26:00.182697-04,1.163,5.000
5ef6ce4a-5751-4cda-8d6e-f53682240334,WC-01,2026-03-11 18:26:00.182697-04,1.942,4.500
52c02428-0eea-463b-8dc3-05fb39960670,WC-02,2026-03-11 18:26:00.182697-04,6.138,7.700
5125f15e-3837-46fe-86a6-ee79ca6305fb,WC-03,2026-03-11 18:26:00.182697-04,1.238,5.000
270af922-8033-4e48-911e-6ab1b6f60f02,WC-01,2026-03-11 19:26:00.182697-04,1.993,4.500
ed7bbed1-3298-4715-866e-c8be38c0f56e,WC-02,2026-03-11 19:26:00.182697-04,6.142,7.700
8635434a-ae8f-463d-84e2-733d70a0e000,WC-03,2026-03-11 19:26:00.182697-04,1.192,5.000
409705b4-b25a-4d88-bc13-807ed16422a7,WC-01,2026-03-11 20:26:00.182697-04,1.857,4.500
45f8570e-f53a-4796-98aa-20ea5c49f165,WC-02,2026-03-11 20:26:00.182697-04,6.125,7.700
ae37f110-0519-4afa-9a80-48dcb0d00c8c,WC-03,2026-03-11 20:26:00.182697-04,1.133,5.000
82309c51-e5d5-4ca0-8d96-e084a07945b5,WC-01,2026-03-11 21:26:00.182697-04,1.932,4.500
e42716ca-d807-4881-85ac-0b7c6ca77210,WC-02,2026-03-11 21:26:00.182697-04,6.158,7.700
7df78efe-99fe-421b-bae1-af9fe5b448eb,WC-03,2026-03-11 21:26:00.182697-04,1.198,5.000
f9353084-dd3e-49cb-a883-7f170e658aef,WC-01,2026-03-11 22:26:00.182697-04,2.008,4.500
72b478d7-f391-4d0b-9fed-c8eeeded20a0,WC-02,2026-03-11 22:26:00.182697-04,6.303,7.700
f993b052-dfec-4709-97a3-f0d35184e316,WC-03,2026-03-11 22:26:00.182697-04,1.291,5.000
e2db0396-ff9a-4722-bb2e-e48302983d79,WC-01,2026-03-11 23:26:00.182697-04,1.701,4.500
0f4acab8-5bac-47af-9bf0-d72aef100759,WC-02,2026-03-11 23:26:00.182697-04,6.404,7.700
caabebaa-c6c2-494e-b3c1-9cfac3eeeb6c,WC-03,2026-03-11 23:26:00.182697-04,1.114,5.000
bfb5e122-3233-4e05-95fd-8dcac3a5a720,WC-01,2026-03-12 00:26:00.182697-04,1.833,4.500
168fb558-2f2c-4e54-9b6e-fc5e7f1fe8ce,WC-02,2026-03-12 00:26:00.182697-04,6.463,7.700
583887f8-b8cd-40a9-b550-c4a1ab9cfa39,WC-03,2026-03-12 00:26:00.182697-04,1.330,5.000
459dbd52-8669-45c6-bc29-e043f377ebf5,WC-01,2026-03-12 01:26:00.182697-04,1.928,4.500
ab0d2d68-7d2d-4e83-8e0c-cf56e70c4ab5,WC-02,2026-03-12 01:26:00.182697-04,6.491,7.700
21f86861-a392-43a8-ac84-e282b601fc70,WC-03,2026-03-12 01:26:00.182697-04,1.247,5.000
c8055bbc-99f3-425c-b9ad-adaf27dea5cc,WC-01,2026-03-12 02:26:00.182697-04,2.170,4.500
b9df37ac-4671-48a7-9b47-87f59e95f008,WC-02,2026-03-12 02:26:00.182697-04,6.387,7.700
f564fca7-b707-4f4f-88aa-7c6723dae668,WC-03,2026-03-12 02:26:00.182697-04,1.217,5.000
fd5b5cc5-9e0b-4227-a2aa-2f7978b5d9aa,WC-01,2026-03-12 03:26:00.182697-04,2.108,4.500
011a3103-3820-4a74-8686-055f307cc63b,WC-02,2026-03-12 03:26:00.182697-04,6.258,7.700
4b3da8df-8a9f-4a1d-a5c1-b61ac475a337,WC-03,2026-03-12 03:26:00.182697-04,1.092,5.000
9b8b6982-7654-4ac0-aa64-6a07b676afb1,WC-01,2026-03-12 04:26:00.182697-04,2.143,4.500
4cc4343c-bdb4-43ef-b0a3-b11dd0bc95b8,WC-02,2026-03-12 04:26:00.182697-04,6.445,7.700
25ff81fc-4277-41f4-a960-61544a04d699,WC-03,2026-03-12 04:26:00.182697-04,1.169,5.000
6a9bbd1e-582a-4854-9157-31dfe9bc82ba,WC-01,2026-03-12 05:26:00.182697-04,2.213,4.500
ac310cd1-5f72-49be-94bc-90daa4535f36,WC-02,2026-03-12 05:26:00.182697-04,6.664,7.700
77195378-21ca-4968-85b6-b88978820d89,WC-03,2026-03-12 05:26:00.182697-04,1.244,5.000
d60445cc-1f2f-4627-a8f2-2aad13b71779,WC-01,2026-03-12 06:26:00.182697-04,1.990,4.500
36c71be3-0b85-49d1-a6a1-060091623dc1,WC-02,2026-03-12 06:26:00.182697-04,6.686,7.700
51f44ba9-2463-47c0-ac01-9f68bdf40f41,WC-03,2026-03-12 06:26:00.182697-04,1.266,5.000
31a993b0-45b9-494e-9009-407619cf90b3,WC-01,2026-03-12 07:26:00.182697-04,2.018,4.500
aac4e991-52bb-49b3-bc79-f8e8494aa887,WC-02,2026-03-12 07:26:00.182697-04,6.548,7.700
65a07cde-ab4f-49af-87b5-346c45b25652,WC-03,2026-03-12 07:26:00.182697-04,1.151,5.000
8d847575-0011-44d9-a56b-4c3758f16f9d,WC-01,2026-03-12 08:26:00.182697-04,2.187,4.500
69a4cc3f-0074-4f58-a404-42e532e03d76,WC-02,2026-03-12 08:26:00.182697-04,6.541,7.700
e5937226-e69f-4e8c-80fe-ca164f1e0d95,WC-03,2026-03-12 08:26:00.182697-04,1.295,5.000
7af97bc1-0458-4d0f-8e15-d301f79dac5e,WC-01,2026-03-12 09:26:00.182697-04,2.077,4.500
976e36d2-053b-420e-96d2-420dd2dd6837,WC-02,2026-03-12 09:26:00.182697-04,6.575,7.700
c440015d-f85b-4a86-97b4-98a1babca7da,WC-03,2026-03-12 09:26:00.182697-04,1.010,5.000
